Created_Time,Tweet_text
Tue Oct 08 12:55:12 +0000 2019,"We may be in the process of leaving Syria, but in no way have we Abandoned the Kurds, who are special people and wo… https://t.co/QEKEoMC8En"
Tue Oct 08 12:30:10 +0000 2019,"So many people conveniently forget that Turkey is a big trading partner of the United States, in fact they make the… https://t.co/8hZwfMQNQs"
Tue Oct 08 12:10:17 +0000 2019,"The lightweight mayor is hurting the great police and other wonderful supporters. 72,000 ticket requests already. D… https://t.co/TrGkbxq7jA"
Tue Oct 08 12:03:30 +0000 2019,Thank you Joni! https://t.co/1DoUqOvOpp
Tue Oct 08 04:13:31 +0000 2019,Adam should be Impeached! https://t.co/q7YRUWsJxy
Tue Oct 08 04:11:10 +0000 2019,Great book! https://t.co/i6GwghuEsU
Tue Oct 08 03:52:37 +0000 2019,"“There are no felonies, there are no Impeachable offenses. The Constitution’s very clear that you need bribery, tre… https://t.co/BOFLz0tDvf"
Mon Oct 07 21:54:13 +0000 2019,https://t.co/4zENOQPQ11
Mon Oct 07 16:52:40 +0000 2019,Thank you @HeyTammyBruce! https://t.co/WYtJQmWv26
Mon Oct 07 16:48:06 +0000 2019,"""The Truth About Impeachment""
@SteveHiltonx @NextRevFNC https://t.co/3Pe2zClfUK"
Mon Oct 07 15:38:09 +0000 2019,"As I have stated strongly before, and just to reiterate, if Turkey does anything that I, in my great and unmatched… https://t.co/tNjd9bRijx"
Mon Oct 07 15:20:48 +0000 2019,"I was elected on getting out of these ridiculous endless wars, where our great Military functions as a policing ope… https://t.co/uZgLPFGctA"
Mon Oct 07 14:20:26 +0000 2019,"The Radical Left Democrats have failed on all fronts, so now they are pushing local New York City and State Democra… https://t.co/Dfjf0WD7HW"
Mon Oct 07 14:01:04 +0000 2019,"Heritage Foundation “These numbers are blockbusters. Just since Donald Trump took office, Median Family Incomrs are… https://t.co/b9r3388d06"
Mon Oct 07 13:38:21 +0000 2019,"“Incomes much higher under Trump than Bush, Obama.” @foxandfriends And almost everything else is better also (excep… https://t.co/YMGoA7dSv4"
Mon Oct 07 12:04:45 +0000 2019,“IG: DECLASSIFIED INFORMATION CONTRADICTS THE WHISTLEBLOWER.” @foxandfriends  But why are people surprised? The “pa… https://t.co/xFVp4OCD8w
Mon Oct 07 11:51:43 +0000 2019,We just WON the big court case on Net Neutrality Rules! A great win for the future and speed of the internet. Will… https://t.co/0ZHUgiEpOT
Mon Oct 07 11:40:33 +0000 2019,"The United States was supposed to be in Syria for 30 days, that was many years ago. We stayed and got deeper and de… https://t.co/1jkgAxrqRi"
Mon Oct 07 02:27:49 +0000 2019,Nancy Pelosi knew of all of the many Shifty Adam Schiff lies and massive frauds perpetrated upon Congress and the A… https://t.co/jhoHJnCe8W
Sun Oct 06 23:54:51 +0000 2019,".@60Minutes “forgot” to report that we are helping the great farmers of the USA to the tune of 28 Billion Dollars,… https://t.co/hKE1p8ggdi"
Sun Oct 06 23:39:08 +0000 2019,"Unemployment Rate just dropped to 3.5%, the lowest in more that 50 years. Is that an impeachable event for your President?"
Sun Oct 06 23:35:53 +0000 2019,"Gerry Baker of @WSJatLarge  “Do you think what you’ve seen rises to the level of impeachment?” Ken Starr, Clinton S… https://t.co/CCJKag9PRl"
Sun Oct 06 23:25:10 +0000 2019,Sleepy Eyes Chuck Todd of “Meet the Press” had a total meltdown in his interview with highly reaspected Senator… https://t.co/j0usm2hmAn
Sun Oct 06 23:22:17 +0000 2019,"Join me at the Target Center in Minneapolis, Minnesota this Thursday, October 10th at 7:00pm! Tickets:… https://t.co/Y0JKKtFtsk"
Sun Oct 06 23:05:39 +0000 2019,"Good job, I must say, by Bob Woodward on “Deface the Nation.” The CBS no name host(ess), and other guest, Peter Bak… https://t.co/bn0vwftqbI"
Sun Oct 06 22:03:03 +0000 2019,Democrat lawyer is same for both Whistleblowers? All support Obama and Crooked Hillary. Witch Hunt! https://t.co/KL78g24AXx
Sun Oct 06 20:13:55 +0000 2019,DRAIN THE SWAMP!
Sun Oct 06 20:13:33 +0000 2019,"Will be in Minnesota on Thursday night. Massive response, crowd and enthusiasm (actually, all over the Country) wil… https://t.co/4Im94qqPpY"
Sun Oct 06 19:19:30 +0000 2019,https://t.co/Xsk50hrvvW
Sun Oct 06 19:17:54 +0000 2019,https://t.co/Q6LzFFTLyX
Sun Oct 06 17:37:41 +0000 2019,"Going to Louisiana on Friday night for a big Republican Rally. Keep Democrat Governor Edwards under 50%, force a ru… https://t.co/rtbufGufk9"
Sun Oct 06 16:56:47 +0000 2019,#DONOTHINGDEMOCRATS
Sun Oct 06 16:42:26 +0000 2019,"The Biden family was PAID OFF, pure and simple! The fake news must stop making excuses for something that is totall… https://t.co/hX8ljpFBHS"
Sun Oct 06 14:58:31 +0000 2019,It is INCREDIBLE to watch and read the Fake News and how they pull out all stops to protect Sleepy Joe Biden and hi… https://t.co/q1NjVqTidG
Sun Oct 06 13:25:38 +0000 2019,"The Democrats are lucky that they don’t have any Mitt Romney types. They may be lousy politicians, with really bad… https://t.co/r3gjpIhMj5"
Sun Oct 06 13:24:32 +0000 2019,95% Approval Rating in Republican Party. Thank you!
Sun Oct 06 13:21:45 +0000 2019,The Do Nothing Democrats are being exposed! https://t.co/Z5G5oEQOqs
Sun Oct 06 13:14:00 +0000 2019,The great Scam is being revealed! https://t.co/Ny429UTVUn
Sun Oct 06 02:12:50 +0000 2019,https://t.co/uElgSLSoJ8
Sun Oct 06 02:01:49 +0000 2019,https://t.co/UBsZoZb20g
Sun Oct 06 02:00:22 +0000 2019,https://t.co/F84WZ5LveS
Sun Oct 06 01:17:46 +0000 2019,"The first so-called second hand information “Whistleblower” got my phone conversation almost completely wrong, so n… https://t.co/Sv4JF23pd6"
Sat Oct 05 23:50:17 +0000 2019,"“President Trump would be negligent if he did not bring this matter, Biden, up. If the V.P. of the U.S. is self enr… https://t.co/bWgV7oZZp4"
Sat Oct 05 23:37:36 +0000 2019,Schiff and the Do Nothing Dems have lost all credibility...but the corrupt Media is working hard to keep them in th… https://t.co/J61YyYdJLq
Sat Oct 05 23:24:55 +0000 2019,"Mitt, get off the stage, you’ve had your turn (twice)! https://t.co/zz6TA6XoGe"
Sat Oct 05 19:25:32 +0000 2019,"So Crooked Hillary Clinton can delete and acid wash 33,000 emails AFTER getting a Subpoena from the United States C… https://t.co/Fvg6ykqSgR"
Sat Oct 05 19:09:13 +0000 2019,"No Kevin, Jeff Flake is better! https://t.co/IyENBffEjp"
Sat Oct 05 19:06:18 +0000 2019,"I’m hearing that the Great People of Utah are considering their vote for their Pompous Senator, Mitt Romney, to be… https://t.co/EHjEsJ47ql"
Sat Oct 05 18:33:51 +0000 2019,"Not only are the Do Nothing Democrats interfering in the 2020 Election, but they are continuing to interfere in the… https://t.co/yoKvnTXLLp"
Sat Oct 05 17:16:12 +0000 2019,https://t.co/CP7N9ASHKJ
Sat Oct 05 16:46:15 +0000 2019,"""Schiff is a FRAUD!"" @dbongino https://t.co/Izexu2Nb1S"
Sat Oct 05 16:35:21 +0000 2019,THIS IS THE REAL STORY! @GreggJarrett https://t.co/aWrTySHJqL
Sat Oct 05 14:17:21 +0000 2019,"Mitt Romney never knew how to win. He is a pompous “ass” who has been fighting me from the beginning, except when h… https://t.co/DseOZc1cww"
Sat Oct 05 14:06:47 +0000 2019,Somebody please wake up Mitt Romney and tell him that my conversation with the Ukrainian President was a congenial… https://t.co/ucyCacQC6X
Sat Oct 05 13:58:33 +0000 2019,"The so-called Whistleblower’s account of my perfect phone call is “way off,” not even close. Schiff and Pelosi neve… https://t.co/PfrOdjiuhK"
